houseguid,mun_obr,lat,lon,exploitation_start_year,total_ppl,total_flats_count,vacant_flats_count,vacant_flats_share
0009f2bb-b015-43c7-a166-51a33911c520,Ярославский район,55.8519702,37.68094886108696,1972.0,190,95,24.0,0.25263157894736843
00194432-7184-4fb2-905a-87d51200d396,район Коптево,55.8271773,37.52290489944062,1967.0,156,80,1.0,0.0125
001ca15c-e105-416c-a97b-87d1e2b5798b,район Соколиная Гора,55.7879007,37.739517066463605,1960.0,159,80,14.0,0.175
0021ef9c-ecd8-47c8-9779-3adaf440a435,район Новогиреево,55.7530928,37.81563068540747,1967.0,147,81,18.0,0.2222222222222222
002b4c3c-cc32-44d4-b989-3bfca10e98e8,район Измайлово,55.79555135,37.8098501,1961.0,66,41,10.0,0.24390243902439024
0032be1d-f0c6-48d7-93c1-a5dcb5f67677,район Хорошёво-Мнёвники,55.7817838,37.47835792406268,1997.0,339,148,8.0,0.05405405405405406
003a495c-167e-4d67-a9fe-0e2671729ba8,район Аэропорт,55.8030083,37.54908832068717,1971.0,143,91,18.0,0.1978021978021978
0041d03e-861f-43d6-8def-0d5619776cfc,район Зюзино,55.66049115,37.5917569,2011.0,350,192,35.0,0.18229166666666666
00425e4b-fd0d-4987-8d4a-01d29fa13cc5,район Якиманка,55.72449585,37.60724691218041,1952.0,220,92,20.0,0.21739130434782608
004badf9-f7ed-42f8-a9cc-c83183e2ed72,городской округ Троицк,55.4954219,37.32521138368879,2014.0,31,12,1.0,0.08333333333333333
005130e6-c71b-44fa-bd76-32f8f6131124,район Аэропорт,55.8015895,37.5367684,1980.0,537,279,39.0,0.13978494623655913
00526a1b-5011-47f4-a943-9036b7e4c420,район Измайлово,55.7961862,37.78929612912847,1973.0,219,114,29.0,0.2543859649122807
0060b94a-ae96-4748-bab9-532ab760b013,район Коньково,55.63653805,37.52409895094712,1972.0,144,81,4.0,0.04938271604938271
00642341-3f8e-4cc2-a7c2-0b46cb7ddae1,район Кузьминки,55.7027693,37.75502138112094,2000.0,114,52,12.0,0.23076923076923078
006c91b9-05be-4eb1-8c1b-40f217a88c22,район Марфино,55.8293532,37.5873533311231,1970.0,208,112,21.0,0.1875
006d742b-f102-4bec-ba41-324a7268a700,Южнопортовый район,55.7078274,37.669094972219696,2001.0,322,175,2.0,0.011428571428571429
0071d173-626e-40d7-8114-379d39f2bc9e,район Замоскворечье,55.7356469,37.630396714228056,1900.0,99,51,10.0,0.19607843137254902
0075212d-51d6-45bb-8525-3c5d70f12d82,поселение Московский,55.73205365,37.629145195640476,1970.0,132,59,1.0,0.01694915254237288
00812389-7ba4-4157-9b0c-9d1f21d5947d,Обручевский район,55.6483648,37.499638739117145,2003.0,379,166,25.0,0.15060240963855423
00825b37-b515-430f-861f-f8c76828b8c7,Южнопортовый район,55.712759399999996,37.673268113135194,1962.0,137,70,2.0,0.02857142857142857
00871094-a84a-4d8a-a8c8-c1a0f54e3c2b,Басманный район,55.765095849999994,37.65242402219894,1909.0,32,12,1.0,0.08333333333333333
008a8815-2b80-4865-a8a4-722d63088cf6,городской округ Троицк,55.5970065,37.169745647533986,1985.0,255,135,19.0,0.14074074074074075
008e734b-bf81-4ef7-8f28-aff5e6bd810d,район Ховрино,55.874536,37.492340549416284,1971.0,142,80,6.0,0.075
009b775d-60b5-4d19-b6fe-cd9a981dbf70,район Черёмушки,55.6506394,37.56146047492368,1965.0,166,84,1.0,0.011904761904761904
009f18ea-af6f-4001-a725-9bfc7555a3bd,район Отрадное,55.8542896,37.6184537,2008.0,329,176,48.0,0.2727272727272727
00a77cd5-e431-46df-8832-f9f462c15205,район Чертаново Южное,55.592301449999994,37.604212149999995,1973.0,1558,855,19.0,0.022222222222222223
